name,lat,lon,a_greenland,a_west_antarctic,a_east_antarctic
Rabaul,-4.200,152.183,1.1474,1.2016,1.1615
Rarotonga,-21.200,-159.767,1.1458,1.0744,1.1851
Reykjavik,64.150,-21.933,-1.7824,1.1426,1.0961
"Rikitea, Gambier",-23.133,-134.950,1.1863,0.9971,1.2119
Rio de Janeiro - I.Fiscal,-22.900,-43.167,1.1832,0.9677,1.0826
"Rodrigues, Port Mathurin",-19.683,63.417,1.1441,1.2597,1.0249
Rorvik,64.867,11.250,-0.3510,1.0496,1.0837
Rothera,-67.572,-68.128,1.2465,-1.4701,0.4903
Russkaya Gavan,76.233,62.583,0.0039,1.0507,1.1134
Sabang,5.833,95.333,1.1266,1.1374,1.1333
Saint Paul Island,-38.712,77.538,1.1201,1.2411,0.7583
Saipan,15.233,145.733,1.2361,1.1964,1.2158
Salalah,17.000,54.000,1.0001,1.0240,1.0898
Salvador,-12.967,-38.517,1.1377,1.0579,1.1083
San Felix,-26.170,-80.070,1.2313,0.8928,1.1675
"San Francisco, CA",37.800,-122.467,0.8853,1.2586,1.0802
"San Juan, Puerto Rico",18.467,-66.117,0.8723,1.2270,1.1223
"Sand Point, AK",55.333,-160.500,0.8904,1.2474,1.1429
Santa Cruz del Flores (Azores),39.273,-31.075,0.3643,1.2170,1.1322
Sao Tome,0.348,6.737,1.0373,1.1059,1.0813
Scott Base,-77.510,166.460,1.0576,-0.6793,-1.1996
Settlement Point,26.717,-78.983,0.7906,1.2475,1.0952
"Seward, AK",60.117,-149.433,0.6821,1.2037,1.0853
Siboney,23.100,-82.467,0.8606,1.2445,1.1047
Simonstown,-34.183,18.433,1.2094,1.1187,0.9133
"Sitka, AK",57.050,-135.333,0.6431,1.2258,1.0738
Socorro Is.,18.733,-111.017,1.0369,1.2613,1.1428
"South Beach, OR",44.380,-124.030,0.7947,1.2445,1.0634
South Georgia,-54.250,-36.750,1.3254,0.4977,0.7996
Spring Bay,-42.550,147.933,0.9965,0.9980,0.7534
"St John's, Newfoundland",47.567,-52.717,-0.0080,1.2364,1.0924
St Peter & St Paul Rocks,0.917,-29.350,1.0690,1.1661,1.1549
St. Helena,-15.967,-5.700,1.2059,1.1529,1.1186
"Stanley, Falklands/Malvinas",-51.750,-57.933,1.3079,0.3896,0.9175
Stockholm,59.317,18.083,0.0763,1.0135,1.0717
Stornoway,58.200,-6.383,-0.3603,1.1142,1.1073
Suez (Port Taufig),29.933,32.567,0.7969,0.9510,1.0370
Surabaya,-7.217,112.733,1.0905,1.1822,1.0801
Suva,-18.133,178.433,1.1201,1.1438,1.1552
"Sydney, Fort Denison",-33.850,151.233,0.9892,1.0525,0.8964
Syowa,-69.000,39.600,1.1425,0.5512,-1.2086
Takoradi,4.883,-1.750,0.9950,1.1017,1.0868
Tan Tan,28.500,-11.050,0.6675,1.0917,1.0726
"Tarawa, Gilbert Is.",1.363,172.930,1.1976,1.2261,1.2106
Thevenard,-32.150,133.640,0.9618,1.0868,0.8448
Tiksi,71.667,128.750,0.5647,1.0367,1.0906
Tofino,49.150,-125.917,0.7271,1.2391,1.0617
Tongatapu,-21.167,-175.250,1.1198,1.1103,1.1541
"Torshavn, Faroe Islands.",62.017,-6.767,-0.6927,1.1243,1.1163
Townsville,-19.250,146.833,1.0100,1.1130,1.0096
Toyama,36.460,137.140,1.1751,1.0949,1.1739
Tregde,58.000,7.567,-0.0461,1.0502,1.0831
Trieste,45.650,13.750,0.4473,0.9887,1.0440
Trindade Is.,-20.500,-29.300,1.2408,1.0836,1.1367
Tumaco,1.833,-78.733,1.0318,1.1093,1.1109
"Unalaska, Aleutian Is. AK",53.883,-166.533,0.9619,1.2581,1.1681
Ushuaia,-54.817,-68.300,1.2664,0.1572,0.8654
Valparaiso,-33.033,-71.617,1.2125,0.7713,1.0897
Vanuatu,-17.767,168.300,1.1049,1.1594,1.1325
Vardo,70.333,31.100,-0.1952,1.0347,1.0939
"Veracruz, Ver.",19.200,-96.133,0.9397,1.2109,1.0912
Veraval,20.900,70.367,1.0293,1.0092,1.1032
Virginia Keys,25.732,-80.162,0.8107,1.2456,1.0961
Vishakhapatnam,17.683,83.283,1.0708,1.0340,1.1109
Waikelo,-9.383,119.217,1.0940,1.1967,1.0846
"Wake Is., Marshall Is.",19.283,166.617,1.2566,1.2413,1.2311
Wakkanai,45.417,141.683,1.1330,1.1054,1.1765
Walvis Bay,-22.949,14.499,1.1462,1.1090,0.9889
Wellington,-41.170,174.470,1.0422,0.9063,0.9135
Won San,39.167,127.450,1.1171,1.0357,1.1377
Xiamen,24.450,118.067,1.1322,1.0439,1.1301
"Yap, Caroline Is.",9.517,138.133,1.2043,1.1877,1.1945
Yuzhno Kurilsk,44.017,145.867,1.1658,1.1372,1.1972
Zanzibar,-6.150,39.183,1.0537,1.1103,1.0302
Zhapo,21.583,111.833,1.1153,1.0375,1.1190
